Nazwa,Kurs(PLN),Zmiana(%),Otwarcie,Min,Max,Obrot(szt),Obrot(PLN)
Vistal Gdynia SA w restrukturyzacji,2.04,-1.45,2.01,2.01,2.12,7008,14217
Vivid Games SA,1.30,0.00,1.30,1.26,1.30,14776,18913
Votum SA,12.20,+3.39,11.80,11.80,12.50,24433,300906
Voxel SA,32.80,+2.18,32.20,32.00,32.80,8438,271977
VRG SA,4.29,-1.04,4.33,4.26,4.33,36565,157070
Wadex SA,6.54,+1.55,6.54,6.54,6.54,91,595
Warimpex AG,6.00,—,—,—,—,—,—
Wasko SA,1.36,-1.81,1.41,1.35,1.42,7160,9809
Wawel SA,660.00,0.00,656.00,652.00,660.00,54,35278
Wielton SA,7.61,-2.44,7.79,7.61,7.79,33501,257219
Wikana SA,1.11,0.00,1.03,1.03,1.11,677,747
Wirtualna Polska SA,63.00,+1.94,62.20,62.20,63.00,2802,176486
Wittchen SA,16.00,+0.95,16.00,16.00,16.00,27,432
Wojas SA,4.72,—,—,—,—,—,—
Work Service SA,1.47,-10.56,1.57,1.42,1.60,275222,411415
XTB DM SA,3.20,0.00,3.10,3.10,3.20,890,2829
XTPL SA,121.50,-2.41,121.50,121.00,121.50,83,10072
Yolo SA,1.80,—,—,—,—,—,—
Zamet SA,0.90,+0.56,0.90,0.90,0.90,25,22
Zastal SA,1.76,0.00,1.76,1.76,1.76,121,213
ZE PAK SA,7.80,-2.26,7.98,7.76,8.00,30548,239612
ZM Henryk Kania SA w restrukturyzacji,0.28,+2.19,0.28,0.27,0.30,1795058,516677
ZM Ropczyce SA,22.80,-1.30,22.50,22.50,22.80,904,20595
ZPC Otmuchów SA,1.52,-4.40,1.59,1.51,1.59,15229,23083
ZPUE SA,138.00,-8.00,147.00,133.00,154.00,1047,152789
ZUE SA,5.20,0.00,5.25,5.00,5.25,2890,14554
ZUK Stąporków SA,1.33,0.00,1.33,1.33,1.33,200,266
Śnieżka SA,74.00,0.00,74.00,74.00,74.00,3,222
