Nazwa,Kurs(PLN),Zmiana(%),Otwarcie,Min,Max,Obrot(szt),Obrot(PLN)
Fon SE,0.69,—,—,—,—,—,—
Forte SA,22.70,-2.16,23.55,22.50,23.70,7755,177097
GetBack SA w restrukturyzacji,3.75,—,—,—,—,—,—
Getin Holding SA,0.95,+0.74,0.94,0.94,0.98,207916,200019
Getin Noble Bank SA,0.34,-0.15,0.35,0.33,0.35,1578864,540427
Global Cosmed SA,1.50,+4.17,1.50,1.50,1.50,15,23
Globalworth Poland RE NV,6.72,0.00,6.72,6.72,6.72,440,2957
Globe Trade Centre SA,9.35,0.00,9.40,9.31,9.45,42312,395493
Gobarto SA,6.86,+4.57,6.86,6.86,6.86,30,206
GPM Vindexus SA,8.16,-0.24,8.16,8.16,8.16,500,4080
GPW SA,40.65,-0.12,40.75,40.35,40.75,3906,158310
Groclin SA,1.77,-0.34,1.78,1.73,1.78,12598,22010
Grodno SA,3.72,0.00,3.85,3.72,3.85,658,2481
Grupa Azoty SA,37.00,-1.33,37.36,36.80,37.98,20820,772415
Grupa Kapitałowa Immobile SA,2.72,+0.74,2.70,2.67,2.72,385,1040
Grupa Kęty SA,300.00,-0.83,301.00,299.00,305.00,2979,898617
Grupa Lotos SA,84.10,-0.71,84.38,83.20,84.58,163692,13768206
Grupa Żywiec SA,478.00,-0.83,484.00,478.00,484.00,94,44946
Harper Hygienics SA,0.11,0.00,0.11,0.11,0.11,400,43
Helio SA,10.70,0.00,10.60,10.60,10.70,225,2395
Herkules SA,1.32,0.00,1.32,1.32,1.32,59655,78745
HM Inwest SA,14.10,—,—,—,—,—,—
Hollywood SA,0.99,-1.00,1.00,0.99,1.00,4024,3968
HubStyle SA,0.34,0.00,0.34,0.34,0.34,725,246
Hydrotor SA,35.40,+0.57,35.40,35.00,35.40,88,3103
i2 Development SA,6.10,—,—,—,—,—,—
IBSM SA,14.90,—,—,—,—,—,—
Idea Bank SA,2.13,+0.95,2.15,2.09,2.20,74974,160662
IDM SA w upadłości układowej,1.15,+7.48,1.07,1.07,1.15,1311,1500
iFirma SA,3.08,0.00,3.08,3.08,3.12,6593,20411
IMC SA,15.50,0.00,15.50,15.50,15.50,5,78
Immofinanz AG,107.00,—,—,—,—,—,—
Impel SA,7.60,+10.95,6.80,6.65,7.70,36944,272599
Impera Capital SA,1.10,0.00,1.10,1.10,1.10,5,6
IMS SA,3.82,-0.78,3.88,3.79,3.88,1768,6771
INC SA,0.91,0.00,0.86,0.86,0.91,120,105
Indykpol SA,61.00,0.00,61.00,61.00,61.00,1020,62220
ING BSK SA,193.00,+1.15,191.20,189.40,194.60,7872,1516463
Inpro SA,4.80,-1.23,4.90,4.56,4.90,230,1050
Instal Kraków SA,17.00,0.00,17.00,16.65,17.00,1865,31644
Inter Cars SA,211.00,-1.40,216.00,209.00,216.00,585,124165
Inter Rao Lietuva AB,12.50,0.00,12.50,12.35,12.50,3113,38735
Interbud-Lublin SA,0.48,-4.80,0.48,0.48,0.48,8390,3994
Interferie SA,4.06,—,—,—,—,—,—
Interma Trade SA,2.30,-0.43,2.29,2.29,2.31,510,1172
International Personal Finance plc,7.00,—,—,—,—,—,—
Intersport Polska SA,2.03,+0.50,1.94,1.94,2.03,4271,8570
Introl SA,2.86,—,—,—,—,—,—
Investment Friends Capital SE,0.66,—,—,—,—,—,—
Investment Friends SE,0.21,—,—,—,—,—,—
Invista SA,0.56,—,—,—,—,—,—
Ipopema Securities SA,1.60,+1.59,1.60,1.60,1.60,20,32
IQ Partners SA,0.26,—,—,—,—,—,—
Izoblok SA,27.00,-3.57,28.00,27.00,28.00,696,19182
Izolacja Jarocin SA,1.56,-0.32,1.56,1.56,1.56,20,31
Izostal SA,2.78,0.00,2.86,2.78,2.88,2435,6821
J.W. Construction Holding SA,2.75,+2.61,2.75,2.75,2.75,1458,4010
Jastrzębska Spółka Węglowa SA,28.02,-0.28,28.20,27.84,28.58,173274,4871722
JHM Development SA,1.59,0.00,1.59,1.59,1.59,5,8
JJ Auto AG,9.70,—,—,—,—,—,—
JWW Invest SA,1.07,0.00,1.07,1.07,1.07,160,171
K2 Internet SA,9.20,-2.65,9.45,9.20,9.45,420,3865
KB Dom SA,0.58,—,—,—,—,—,—
KCI SA,0.39,-3.75,0.40,0.39,0.40,419,167
KDM Shipping Public Ltd.,1.40,—,—,—,—,—,—
Kernel Holding SA,43.60,+0.81,43.75,43.15,43.75,167650,7270366
KGHM SA,84.26,+3.13,82.00,82.00,84.26,697761,58407691
Kino Polska TV SA,11.00,+0.92,10.90,10.90,11.00,4841,52777
Kogeneracja SA,34.40,-0.29,34.40,33.60,34.40,290,9835
Kompap SA,6.00,-1.64,6.00,6.00,6.00,1,6
Komputronik SA,2.78,0.00,2.80,2.78,2.80,1298,3622
Konsorcjum Stali SA,24.00,+2.56,24.00,24.00,24.40,256,6145
Korporacja KGL SA,12.80,+3.64,12.80,12.30,12.80,105,1294
KPPD SA,23.80,—,—,—,—,—,—
Krakchemia SA,0.45,-2.41,0.45,0.42,0.45,6032,2517
Kredyt Inkaso SA,7.85,—,—,—,—,—,—
Krezus SA,0.56,—,—,—,—,—,—
KRKA DD,270.00,—,—,—,—,—,—
Kruk SA,160.20,+1.26,157.00,157.00,160.20,14838,2354770
Kruszwica SA,40.70,+0.25,41.20,40.70,41.30,95,3897
Krynica Vitamin SA,4.30,+2.63,4.19,4.11,4.32,1216,5131
Krynicki Recykling SA,4.19,+1.95,4.10,4.00,4.19,127413,511296
KSG Agro SA,1.00,+1.52,1.00,1.00,1.00,3803,3803
Labo Print SA,9.92,+0.20,9.92,9.92,9.92,22,218
Larq SA,3.10,-1.90,3.02,3.02,3.10,3152,9641
Lena Lighting SA,3.16,-0.94,3.18,3.16,3.18,881,2797
Lentex SA,7.00,0.00,6.92,6.88,7.00,452,3121
Libet SA,0.55,+1.11,0.54,0.51,0.55,43403,22941
LiveChat Software SA,35.60,-1.11,35.55,35.55,37.00,7106,256542
Lokum Deweloper SA,12.90,-5.84,13.40,12.90,13.70,2872,37788
LPP SA,7920.00,+2.52,7785.00,7575.00,7945.00,5199,40574835
LSI Software SA,13.30,0.00,13.10,13.00,13.30,3361,43724
Lubawa SA,0.86,+3.37,0.84,0.84,0.86,123960,105263
LW Bogdanka SA,39.70,-1.49,40.30,38.80,40.40,46106,1814125
Mabion SA,85.80,+3.37,83.90,83.90,85.80,5201,443184
Makarony Polskie SA,4.32,0.00,4.32,4.32,4.32,22,95
Mangata Holding SA,64.50,-2.27,65.00,64.50,65.00,206,13288
Marie Brizard Wine & Spirits S.A.,11.10,+2.78,10.80,10.80,11.10,3,33
Marvipol Development SA,3.49,-0.29,3.48,3.42,3.50,27327,95136
Master Pharm SA,5.64,-2.08,5.78,5.64,5.78,488,2757
Maxcom SA,18.10,+0.56,18.00,18.00,18.10,81,1459
mBank SA,327.60,-0.97,330.00,322.80,340.20,25182,8330111
MCI Capital SA,9.38,0.00,9.30,9.30,9.40,4805,45113
MDI Energia SA,3.34,-1.18,3.60,3.34,3.60,1065,3591
Mediacap SA,2.00,+2.04,2.00,2.00,2.00,45,90
Mediatel SA,0.74,—,—,—,—,—,—
Medicalgorithmics SA,31.00,+0.65,31.40,30.30,31.40,1503,46090
Megaron SA,13.00,—,—,—,—,—,—
Mennica Polska SA,22.80,—,—,—,—,—,—
Mercator Medical SA,6.37,+2.08,6.24,6.21,6.37,3666,22957
Mercor SA,7.70,-3.75,7.90,7.70,7.90,3244,25359
Mex Polska SA,3.16,0.00,3.16,3.08,3.16,16216,50322
MFO SA,19.60,+1.03,19.60,19.60,19.60,223,4371
Milkiland NV,0.45,—,—,—,—,—,—
Miraculum SA,1.29,+4.88,1.23,1.23,1.29,1655,2091
Mirbud SA,0.85,+0.47,0.84,0.82,0.85,176668,148230
ML System SA,21.00,0.00,21.00,20.50,21.00,627,13122
MLP Group SA,46.40,—,—,—,—,—,—
Mo-Bruk SA,105.00,—,—,—,—,—,—
MOJ SA,0.72,—,—,—,—,—,—
MOL Rt.,37.50,+1.63,39.00,36.96,39.00,2453,92089
Monnari Trade SA,4.50,+0.22,4.52,4.48,4.54,4150,18630
Mostostal Płock SA,6.22,+0.32,6.24,6.06,6.24,1145,7029
Mostostal Warszawa SA,4.44,+2.30,4.34,4.34,4.44,3211,13986
Muza SA,2.72,—,—,—,—,—,—
MW Trade SA,3.80,+2.15,3.72,3.72,3.80,911,3442
MZN Property SA,0.69,-1.15,0.71,0.69,0.71,1505,1045
NanoGroup SA,3.00,-3.23,3.00,3.00,3.00,16,48
Netia SA,4.59,+1.10,4.52,4.47,4.59,53630,241302
Neuca SA,360.00,+0.84,351.00,347.00,360.00,1212,428585
New World Resources Plc,0.02,—,—,—,—,—,—
Newag SA,18.55,-1.59,18.85,18.35,18.85,123,2284
North Coast SA,5.80,+1.40,5.70,5.70,5.80,6097,34813
Novaturas AB,27.20,—,—,—,—,—,—
Novita SA,39.00,-2.01,39.20,39.00,39.20,331,12916
NTT System SA,2.20,+1.85,2.16,2.16,2.20,12334,26659
Octava SA,0.85,0.00,0.85,0.85,0.85,19,16
Odlewnie Polskie SA,3.26,0.00,3.26,3.26,3.28,15429,50305
OEX SA,17.40,+4.82,17.40,17.40,17.40,10,174
OncoArendi Therapeutics SA,10.00,-0.99,10.00,10.00,10.40,520,5250
Open Finance SA,1.11,0.00,1.11,1.02,1.11,7498,8249
Oponeo.pl SA,22.90,+4.57,21.90,21.70,22.90,4020,88488
OPTeam SA,9.00,—,—,—,—,—,—
Orange Polska SA,5.85,-0.85,5.89,5.78,5.98,1807009,10552557
Orbis SA,95.40,-1.24,96.20,94.40,96.20,483,46126
Orion Investment SA,6.70,+8.94,6.70,6.15,6.70,2704,17597
Orzeł Biały SA,10.15,+1.00,10.00,9.86,10.15,306,3053
OT Logistics SA,6.85,-2.84,7.00,6.85,7.00,7,48
Ovostar Union NV,75.00,-5.06,79.00,75.00,79.00,51,3829
PA Nova SA,12.70,-2.31,13.50,12.70,13.50,2490,32444
Pamapol SA,1.12,0.00,1.12,1.12,1.12,11486,12864
Patentus SA,1.38,-0.72,1.39,1.38,1.39,982,1363
PBS Finanse SA,0.20,—,—,—,—,—,—
PC Guard SA,1.17,—,—,—,—,—,—
PCC Exol SA,1.53,+0.33,1.57,1.52,1.57,1078,1646
PCC Rokita SA,54.00,+0.75,54.60,52.80,54.60,2281,121929
Peixin International Group NV,1.02,—,—,—,—,—,—
Pekabex SA,7.70,0.00,7.85,7.55,7.85,9621,73285
Pepees SA,1.83,0.00,1.83,1.83,1.84,4890,8974
Pfleiderer Group SA,26.20,-0.38,26.20,26.20,26.20,276,7231
PGE SA,8.16,+0.99,8.09,8.09,8.28,747916,6121077
PGNiG SA,4.98,+0.73,4.92,4.92,5.03,2949533,14711562
PGO SA,1.47,0.00,1.47,1.47,1.47,48,71
PGS Software SA,10.06,-0.40,10.10,10.00,10.10,933,9351
Pharmena SA,7.60,0.00,7.96,7.60,7.96,1100,8396
PHN SA,12.70,-0.39,12.65,12.60,12.70,693,8762
PHZ Baltona SA,6.25,-0.79,6.25,6.25,6.25,12,75
PKN Orlen SA,93.64,+0.88,93.60,92.90,94.20,355502,33282766
PKO BP SA,41.20,+0.64,40.82,40.82,41.40,2047074,84120327
PKP Cargo SA,27.45,+0.37,27.50,27.00,27.65,21578,590900
Plast-Box SA,2.00,+4.71,2.00,2.00,2.00,5,10
Platynowe Inwestycje SE,0.50,—,—,—,—,—,—
Play Communications SA,27.42,+0.88,27.20,26.82,27.42,373670,10150599
PlayWay SA,183.60,+1.77,181.60,180.40,184.00,4116,752925
Plaza Centers NV,1.62,0.00,1.61,1.53,1.62,3631,5684
PMPG Polskie Media SA,1.14,—,—,—,—,—,—
Polenergia SA,25.90,+3.60,25.60,25.10,25.90,2445,62440
Police SA,14.30,0.00,14.00,14.00,14.30,200,2845
Polimex Mostostal SA,2.39,-0.83,2.38,2.37,2.48,367399,887179
Polnord SA,4.50,-2.60,4.60,4.40,4.60,12285,55461
