Nazwa,Kurs(PLN),Zmiana(%),Otwarcie,Min,Max,Obrot(szt),Obrot(PLN)
Venture Inc SA,1.70,0.00,1.70,1.70,1.70,5,9
Vigo System SA,318.00,—,—,—,—,—,—
Vistal Gdynia SA w restrukturyzacji,2.15,+2.38,2.19,2.09,2.19,8416,17791
Vivid Games SA,1.31,-0.61,1.28,1.27,1.31,13033,16893
Votum SA,11.45,+0.88,11.30,11.25,11.45,3567,40494
Voxel SA,32.00,-0.93,31.80,31.80,32.30,610,19542
VRG SA,4.33,0.00,4.33,4.30,4.33,42700,184911
Wadex SA,6.44,-1.83,6.56,6.44,6.56,2100,13537
Warimpex AG,6.00,—,—,—,—,—,—
Wasko SA,1.47,+0.68,1.46,1.40,1.48,4870,7093
Wawel SA,660.00,+0.61,654.00,650.00,680.00,2375,1600728
Wielton SA,7.90,+1.28,7.80,7.77,7.97,6450,50494
Wikana SA,1.11,0.00,1.03,1.03,1.11,744,814
Wirtualna Polska SA,62.00,0.00,62.80,61.40,63.00,8846,554966
Wittchen SA,15.85,+1.93,15.85,15.85,15.85,30,476
Wojas SA,4.72,-5.60,4.80,4.72,5.00,156,756
Work Service SA,1.65,+0.49,1.62,1.62,1.65,5553,9013
XTB DM SA,3.19,-6.18,3.10,3.06,3.20,36783,114641
XTPL SA,125.00,+0.40,124.50,122.00,125.00,288,35627
Yolo SA,1.80,—,—,—,—,—,—
Zamet SA,0.85,0.00,0.85,0.85,0.85,25,21
Zastal SA,1.76,-7.37,1.76,1.76,1.76,77,136
ZE PAK SA,8.00,+0.25,7.92,7.92,8.04,4587,36666
ZM Henryk Kania SA w restrukturyzacji,0.28,0.00,0.28,0.28,0.30,1560386,451564
ZM Ropczyce SA,22.50,-1.32,22.70,22.50,22.70,464,10487
ZPC Otmuchów SA,1.59,+3.92,1.59,1.59,1.59,255,405
ZPUE SA,136.00,+18.26,120.00,120.00,136.00,824,105741
ZUE SA,5.25,-1.87,5.30,5.00,5.30,1702,8672
ZUK Stąporków SA,1.33,—,—,—,—,—,—
Śnieżka SA,74.00,+1.37,74.50,73.00,74.50,229,16945
