Nazwa,Kurs(PLN),Zmiana(%),Otwarcie,Min,Max,Obrot(szt),Obrot(PLN)
Ursus SA w restrukturyzacji,1.49,+1.92,1.41,1.39,1.64,4126823,6337002
Venture Inc SA,1.70,0.00,1.70,1.70,1.70,5,9
Vigo System SA,310.00,-2.52,310.00,310.00,310.00,3,930
Vistal Gdynia SA w restrukturyzacji,2.07,-3.72,2.18,2.00,2.18,29329,60139
Vivid Games SA,1.30,-0.76,1.30,1.29,1.31,22716,29394
Votum SA,11.80,+3.06,11.45,11.45,12.05,12433,146661
Voxel SA,32.10,+0.31,32.00,32.00,32.10,480,15365
VRG SA,4.33,-0.12,4.34,4.32,4.34,10035,43467
Wadex SA,6.44,—,—,—,—,—,—
Warimpex AG,6.00,—,—,—,—,—,—
Wasko SA,1.39,-5.78,1.44,1.36,1.47,15113,21145
Wawel SA,660.00,0.00,680.00,652.00,680.00,100,65882
Wielton SA,7.80,-1.27,7.96,7.73,7.96,13684,106771
Wikana SA,1.11,0.00,1.03,1.03,1.11,1474,1593
Wirtualna Polska SA,61.80,-0.32,60.60,60.60,62.60,17014,1062235
Wittchen SA,15.85,0.00,15.85,15.85,15.85,70,1110
Wojas SA,4.72,—,—,—,—,—,—
Work Service SA,1.65,0.00,1.65,1.62,1.65,8277,13482
XTB DM SA,3.20,+0.31,3.20,3.20,3.20,769,2461
XTPL SA,124.50,-0.40,125.00,120.50,125.50,299,36767
Yolo SA,1.80,—,—,—,—,—,—
Zamet SA,0.89,+4.71,0.85,0.85,0.89,11484,9801
Zastal SA,1.76,0.00,1.76,1.76,1.76,43,76
ZE PAK SA,7.98,-0.25,7.98,7.92,7.98,1201,9553
ZM Henryk Kania SA w restrukturyzacji,0.27,-2.14,0.28,0.27,0.28,687873,188696
ZM Ropczyce SA,23.10,+2.67,22.50,22.50,23.10,1009,23089
ZPC Otmuchów SA,1.59,0.00,1.59,1.59,1.59,5,8
ZPUE SA,150.00,+10.29,141.00,141.00,153.00,638,92031
ZUE SA,5.20,-0.95,5.40,5.00,5.40,1577,7983
ZUK Stąporków SA,1.33,—,—,—,—,—,—
Śnieżka SA,74.00,0.00,74.00,74.00,74.00,40,2960
